Subject,Course ID,Course Name,Catalog Description,Terms,Forms,Prerequisites,fix
English,EN512,Contemporary Women Writers,"In this course, we will read the work of a diverse group of artists writing in a variety of literary forms such as essays, novels, short stories, and possibly even poetry. The writers we will read may include Joan Didion, Marilynne Robinson, Toni Morrison, Louise Erdrich, Alice Munro, and Z.Z. Packer. That these writers are all women may or may not be significant, and much of the fun of the course will be in investigating what is possible, what is significant, and what intrigues us in the writing of women. The overarching questions we will discuss in this course are as follows: Do women writers share meaningful traits? Is ""women's writing"" simply a convenient catchall for female authorship? Do contemporary women writers have a shared mission? What is the duty of women writers today? Is it important to read works of literature written by women? Why or why not? What potential do these texts have to transform individual and communal opinions about which narratives are worthy of being told, written, read, and interpreted? How do these texts contend with common portrayals of women in canonical literature and cultural contexts? Grants: Honors NCAA;   Terms: T2;   Forms: V",T2,V,,
English,EN513,Nobel Pulitzer National Booker,"This course builds upon English III by developing students’ skills at interpreting and contextualizing works of literature written in different genres.  The fall term is devoted to the study of long-form fiction. The reading materials include novels by a diverse range of authors from the nineteenth and twentieth centuries. Analytical writing continues to play a central role in the curriculum, with students composing analytical papers each of three novels. Discussion-based inquiry around the Harkness table encourages careful deliberation and constructive debate. Grants: NCAA; Terms: T1; Forms: IV",T1,V,,
English,EN514,This Happy Breed:Shakespeare's Epic Tale,"Courses 501 and 502 introduce new Fifth Form students to writing about personal experience and literature. In the fall, students will write weekly personal essays, creative pieces, and some literary analyses; however, in the winter term, primary emphasis will be given to the development of the critical writing skills needed for college-level literature courses. Students who have demonstrated a clear proficiency in expository and critical writing in the fall may be permitted to enroll in other English electives in winter. Grants: Honors NCAA;   Terms: T1;   Forms: V",T1,V,,
English,EN515,Springtime With The Puritans,"The little band of stiff-necked, well-educated, god-crazed, and sometimes hysterical religious dissenters who settled Salem (and much of New England) in the 1600s presents both a puzzle and a paradox dropped intriguingly at the doorstep of American history. Historian Richard Hofstader calls them ""the first class of American intellectuals."" Another historian, Perry Miller, argues that ""without some understanding of Puritanism at its source, there is no understanding of America."" In this elective we attempt to gain that modicum of understanding by reading a selection of Puritan diaries, poems, epitaphs, legal documents, and some sermons. We focus our attentions on the famous witch trials of the 1690s (transcripts), and then trace the Puritan fallout through three centuries of American culture. Several papers (one historical, one literary) are required, and students should be prepared to compose and deliver an original Puritan sermon. Grants: Honors NCAA;   Terms: T3;   Forms: V",T3,V,,
English,EN516,Essays Of Reflection,"Experience, said Aldous Huxley, ""is not what happens to a man; it is what a man does with what happens to him."" One of the central purposes of this course is to amplify the potential of key moments in your life to serve you as instructive experience. To that end, we will write (and write and write - an essay each week), first recollecting significant things that have happened to, in, and issuing from you, then re-membering them (literally, re-assembling their essential parts) so as to transform them from ephemeral occurrences into recognizable passages in a more carefully examined life. You will put pen to paper and fingers to keyboard in order, first, to discover yourself more deeply and, then, in order to try to explain yourself, in relation to your family, in relation to the places where you have lived and traveled, and in relation to school. One of this course's central intentions is to ensure, if you if you have not yet had time to sift through what happened in your freshman Humanities class or back at home over the summer or while you were doing Outward Bound, that you get a chance to consider and to communicate what that moment in your life was (and now is) about. However you have spent the past few years, this course intends, through rigorous writing, to help you to enunciate who, what and where you've been; who, what and where you are now; to what and where you might be going. Again, the essential course requirement is an essay each week.  Grants: Honors NCAA;   Terms: T3;   Forms: V",T3,V,,
English,EN519,Southern African Literature,"In this course we will be studying literature by some of the most well-known writers of Southern Africa, beginning with Gillian Slovo's Red Dust, a fictional representation of the Truth and Reconciliation Commission's work in South Africa post-Apartheid. We will also move beyond the history of Apartheid and the boarders of South Africa, reading texts by South African writers J.M. Coetzee, Nadine Gordimer, Athol Fugard, Zakes Mda and Botswana author Bessie Head. Writing assignments will include several shorter essays and a final paper. Grants: Honors NCAA; Terms: T3; Forms: V",T3,V,,
English,EN523,Hemingway,"The reading in this course will include The Nick Adams Stories, A Farewell to Arms, The Sun Also Rises, and For Whom the Bell Tolls. Because Hemingway the man is as fascinating as Hemingway the writer, we will pay close attention to selected readings from the various biographies of Hemingway. Writing assignments will be varied and will include the opportunity to write in the style of Hemingway. Grants: Honors NCAA;   Terms: T2;   Forms: V",T2,V,,
English,EN524,International Short Fiction,"Students read a selection of short stories (most in translation) from a variety of languages, cultures, and periods. Sometimes team-taught by members of the English and Language departments, the course explores the development of the contemporary short story as a product of a global evolution of the narrative process. Readings range from the Arabian Nights to Borges and include stories by Boccaccio, Tolstoy, Maupassant, Chekhov, Joyce, Poe, Lagerlof, Kafka, Lu Hsun, Mishima, Cheever, Garcia Marquez, and other authors. Students alternate in presenting background work on individual authors and leading discussions. Three papers and two presentations are required. Grants: Honors NCAA;   Terms: T2;   Forms: V",T2,V,,
English,EN525,Irish Literature,"Courses 501 and 502 introduce new Fifth Form students to writing about personal experience and literature. In the fall, students will write weekly personal essays, creative pieces, and some literary analyses; however, in the winter term, primary emphasis will be given to the development of the critical writing skills needed for college-level literature courses. Students who have demonstrated a clear proficiency in expository and critical writing in the fall may be permitted to enroll in other English electives in winter. Grants: Honors NCAA;   Terms: T1;   Forms: V",T1,V,,
English,EN526,Journalism Seminar: Literature Of Fact,"Journalism offers a simple and straightforward approach to written expression. Anchored in observation and fact, journalistic writing applauds clarity and organization of content, and it offers a variety of stylistic modes ranging from hard news to opinion, criticism, and humor. An immediacy and relevance can be thrilling for students, and the theory of the press (focused as it is on the nature of fairness and objectivity) provides an important intellectual backdrop for all areas of communication. Readings may include selections from Thucydides, Montaigne, Defoe, Johnson, Poe, Crane, Whitman, Mencken, Hemingway, Agee, Mailer, Didion, Sheehan, Thompson, and Wolfe. The goal is to help students develop a personal style of their own. Students write each week-and rewrite-a variety of short pieces, many on subjects of their own choosing. Grants: Honors NCAA;   Terms: T3;   Forms: V",T3,V,,
English,EN528,Law As Literature,"This course is designed as a study of law as it appears in a variety of genres. We will study novels like Dostoyevsky's Crime and Punishment, Harry Mulisch's The Assault, and Albert Camus' The Fall, as well as dramas like The Andersonville Trial and Bolt's Man For All Seasons. The course also includes non-fiction works like Truman Capote's In Cold Blood and Wilkerson's An Act of Violence and numbers of court opinions and essays by writers ranging from Rebecca West to Oliver Wendall Holmes. Interviews with prosecutors, policemen, and judges are also planned, and students should expect to spend a day in court. Students write a major paper on each of the main works, usually four, and will also write weekly paragraph length essays on LSAT questions. Grants: Honors NCAA;   Terms: T3;   Forms: V",T3,V,,
English,EN530,Mark Twain,"Mark Twain, one of the best known figures in American culture during the 1800s, tried many different occupations, from riverboat pilot, to printer, to silver miner, to newspaper reporter, to soldier, to lecturer. We will examine his public life and his private life, reading short stories, newspaper stories, travelogues, essays, and novels as well as some biography and criticism. Writing assignments will be roughly six in number and vary from critical essays to personal essays to parodies of some of his pieces. A major project in the term will be to evaluate some of the criticism past and present in regard to his novel The Adventures of Huckleberry Finn. Grants: Honors NCAA;   Terms: T3;   Forms: V",T3,V,,
English,EN531,Gender And Literature,"In this course, we will explore the politics of sex and gender identity. It is designed to introduce students to the frameworks that shape our thoughts about what it means to be a man/woman. We will read from a variety of texts including Middlesex by Jeffrey Eugenides, Orlando by Virginia Woolf, Gender Trouble by Judith Butler, and The History of Sexuality by Michel Foucault. Topics may include sexuality, feminism, and diversity in terms of race, ethnicity, age, and sexual orientation. Grants: Honors NCAA;   Terms: T1;   Forms: V",T1,V,,
English,EN532,Milton,"John Milton is generally considered one of the two or three most important authors in English, and his Paradise Lost is surely the most ambitious poem in the language. The principal work of the course will consist of a careful and complete reading of this epic, with emphasis on dramatic content and poetic technique. The course will begin with an examination of the poet's life and times and a detailed analysis of Lycidas. Samson Agonistes may be read if time permits. There will be several major papers, several in-class essays, and a test or two. Grants: Honors NCAA;   Terms: T2;   Forms: V",T2,V,,
English,EN533,Moby Dick,"This course is devoted to an intensive reading of Herman Melville's Moby Dick (1851). Although it made Melville almost no money, selling fewer than 10,000 copies world-wide during the forty years between its publication and Melville's death in 1891, Moby Dick is now thought by many critics to be the most influential, if not the greatest, of American novels. Some of Melville's analogues and sources will be examined, and emphasis will be given to the historical and cultural issues informing the novel. Students will be required to keep a log, or journal, of their experiences and reactions as the Pequod sails round the world in search of the White Whale, and they will write two short essays and a longer final paper. As time permits, we will also consider Melville's writing career after Moby Dick by reading Bartleby the Scrivener and Billy Budd. Grants: Honors NCAA;   Terms: T1;   Forms: V",T1,V,,
English,EN535,Modern Irish Drama,"This course will explore and examine the lives and literature of some of Ireland's most prolific playwrights. With the founding of the Abbey Theatre in 1904 by W.B. Yeats, Lady Gregory, and J.M Synge, the stage was set for the Irish dramatist to emerge. Many playwrights surfaced using dramatic depictions to communicate the complexities of Ireland. A land of paradox, tension, rural life, and urban blight, Ireland continues to use drama as a vehicle for awareness, change, and progress. This course will study the works of Yeats, O'Casey, and Synge, as well as some contemporary dramatists. Students will write three comprehensive papers after reading the three major playwrights. Students should also expect some short in-class writing on specific scenes within the plays. Grants: Honors NCAA;   Terms: T3;   Forms: V",T3,V,,
English,EN536,Creative Non-Fiction,"Courses 501 and 502 introduce new Fifth Form students to writing about personal experience and literature. In the fall, students will write weekly personal essays, creative pieces, and some literary analyses; however, in the winter term, primary emphasis will be given to the development of the critical writing skills needed for college-level literature courses. Students who have demonstrated a clear proficiency in expository and critical writing in the fall may be permitted to enroll in other English electives in winter. Grants: Honors NCAA;   Terms: T1;   Forms: V",T1,V,,
English,EN537,Modern Thought And Literature,"We're not in Kansas anymore. Although Dorothy has to hitch a ride on a twister to get to the Technicolor strangeness of Oz, for many modern artists and writers, the world in which they lived seemed strange enough. Over the last century, revolutions in politics, technology, and society have assaulted the senses, defamiliarized the familiar, and challenged people to live with constant change. In their attempts to understand and represent the bewildering experience of living in the modern world, writers and artists experimented with new styles and literary forms, producing works that are absurd and disturbing, funny and fantastic, beautiful and challenging. The course aims to provide a survey of some of the major figures, texts, and ideas of the ""modernist"" period. Readings include Twilight of the Idols (Nietzsche), The Metamorphosis (Kafka), To the Lighthouse (Woolf), Waiting for Godot (Beckett) and selected short pieces by Gertrude Stein and Jorge Luis Borges. Students can expect to do two or three critical essays, a presentation, and a final project/paper. Grants: Honors NCAA;   Terms: T1;   Forms: V",T1,V,,
English,EN539,Patterns In The Short Story,"This course uses a wide variety of short stories to provide the student with the necessary tools to appreciate a demanding form of fiction. The hope is to give each student an understanding of the origins of the short story and also a recognition of some of the genre's recurring themes and patterns. Just a few of the many stories are Joyce's The Dead, Don DeLillo's Take the 'A' Train, and Lee K. Abbott's The Final Proof of Fate and Circumstance. The second half of the term will focus entirely on current short fiction, and we will also spend a week on science fiction. Students should expect to write four longer papers on particular areas of the short story, as well as a number of brief in-class essays on individual stories. Grants: Honors NCAA;   Terms: T3;   Forms: V",T3,V,,
English,EN540,Poetry Seminar,"In conjunction with the James Merrill poetry readings, Poetry Seminar gives students the opportunity to study and to converse with the distinguished poets who come to Lawrenceville each winter. In addition, the course offers students the chance to pursue their own writing in a variety of ways. Students typically write between eight and ten poems of their own over the course of the term, as well as a like number of critical essays on a variety of important poets. In addition, members of the class should anticipate reading their work to the class and also reading and editing the work of their colleagues. Grants: Honors NCAA;   Terms: T2;   Forms: V",T2,V,,
English,EN542,Southern Literature,"The South is the one part of this country to have suffered unambiguous defeat; and that defeat not only colors its actions and attitudes but also inspires its song and its ironic and spirit-soaked and in some ways (even when comic) rather sad fiction. The victors in a war may assume the right to compose the history of the conflict, but often the losers write the enduring fiction-and thus win that other and unending battle that takes place in the human heart. We'll read works by the likes of Eudora Welty, Ernest J. Gaines, Flannery O'Connor, Richard Wright, Peter Taylor, Carson McCullers and, above all, William Faulkner. We'll read them in part to see the effects of that external war the South lost, but mostly to discover how well the South has reversed that historical judgment or redeemed itself through art. Papers after every major text and some in-class essays are required. Grants: Honors NCAA;   Terms: T1;   Forms: V",T1,V,,
English,EN543,Temptation Of Power,"Stalin said cynically that one death is a tragedy, a million deaths only a statistic. Someone else said that you've got to break eggs to make an omelet. Between them they define the temptation at the core of modern politics: the power that knowledge, organization, masses of men, and machines offer to politicians, and especially visionary politicians, in our time. Such power is a central theme in modern literature and the theme of this course. We start with Machiavelli's The Prince and Shakespeare's Measure for Measure to set up the arguments, and then move on to short readings from Dostoevsky, Conrad, and Kafka. For novels, lately we've read Arthur Koestler's Darkness at Noon, George Orwell's Animal Farm, Harry Mulisch's The Assault, and Elie Wiesel's Night and Dawn, but we've read other novels in the past (e.g., Fahrenheit 451 and A Clockwork Orange), and we might well read new things in the future. Students will write a paper for Machiavelli/Shakespeare and for each major novel, with some in-class writing spaced throughout. Grants: Honors NCAA;   Terms: T3;   Forms: V",T3,V,,
English,EN544,Shakespeare's Comedies: Masks We Wear,"This elective looks closely at three very different comedies (Twelfth Night, The Merchant of Venice, and Much Ado About Nothing) focusing on the motifs of disguise and deceit in each as well as the question of what constitutes a comedy. All of the plays involve both physical and figurative masks, and each raises questions about the morality of hiding one's true identity behind a false front. Video versions of each of the plays supplement the texts, and if we have an opportunity to see a live show in the area, we will take advantage of that. In addition, a little time at the very start of the term will be dedicated to writing personal essays to give seniors the opportunity to do some work on their college applications. Students will write two personal essays and three analytical essays over the course of the term. Grants: Honors NCAA;   Terms: T1;   Forms: V",T1,V,,
English,EN546,Colonialism In Literature,"Modern citizens of the Western world have long tended to assume that the rest of the world shares-or needs only to see to embrace-our tolerant view of things and our pragmatic faith in free markets, free travel, free speech. We assume likewise that ""Old World"" forces like tradition, place, and blood no longer operate upon or within us, and, therefore, that we are at home everywhere. In this course, we will read some stories about what happens when such assumptions are put to the test, when a Westerner goes east or south-anywhere where he is a stranger, an alien, not one of ""the people."" Assignments will include some in-class writing and a major essay on each novel. Recent readings include Joseph Conrad's Heart of Darkness, E. M. Forster's A Passage to India, Chinua Achebe's No Longer at Ease, Graham Greene's The Quiet American, and V. S. Naipaul's In a Free State. Grants: Honors NCAA;   Terms: T1;   Forms: V",T1,V,,
English,EN547,The Screwball Comedy and its Critics,"Courses 501 and 502 introduce new Fifth Form students to writing about personal experience and literature. In the fall, students will write weekly personal essays, creative pieces, and some literary analyses; however, in the winter term, primary emphasis will be given to the development of the critical writing skills needed for college-level literature courses. Students who have demonstrated a clear proficiency in expository and critical writing in the fall may be permitted to enroll in other English electives in winter. Grants: Honors NCAA;   Terms: T1;   Forms: V",T1,V,,
English,EN548,West Of Everything,"This course is designed as a study of the West of the American imagination and includes novels like Ron Hansen's Desperadoes, Cormac McCarthy's All The Pretty Horses and Blood Meridian, and Michael Ondaatje's The Collected Works of Billy the Kid; short stories by Stephen Crane, Richard Ford, and Lee Abbott; and non-fiction like Allen Barra's Inventing Wyatt Earp and Jonathan Raban's Bad Land. We will also see a number of films, ranging from John Wayne's Rio Grande to Tombstone and Clint Eastwood's Unforgiven. Students should expect to write a major paper on each of the novels, as well as brief essays on the films. Grants: Honors NCAA;   Terms: T1;   Forms: V",T1,V,,
English,EN551,Signifying Nothing: Experimental Novels,"What is real? What is true? Whose version of experience do we trust? How reliable is memory as a record of the past and a resource for understanding? How does language represent-distort-create-the world of our experience? In this course we will look at three novels (William Faulkner's The Sound and the Fury, Gabriel Garcia Marquez's Chronicle of a Death Foretold, Nicole Krauss' recent novel, The History of Love (2005)) that attempt to make sense of people and events that apparently defy logic or understanding. While all three novels tell compelling, gripping stories-of a family in the American South, of the Holocaust, of a murder in a small South American village-they also force us to think about the nature of time and history and the vagaries of human memory. Students can expect to do two or three critical papers, a presentation, and a final project/paper. Grants: Honors NCAA;   Terms: T3;   Forms: V",T3,V,,
English,EN553,Trauma And The Literary Imagination,"Poetry makes nothing happen; the efficacy of poetry is nil-no lyric has ever stopped a tank, wrote W. H. Auden when faced with the brutalities of history. Harold Bloom said that ""we have no warrant for imagination in the most terrible of areas."" Seamus Heaney argued that ""the redressing effect of poetry comes from its being a glimpsed alternative, a revelation of potential that is denied or constantly threatened by circumstances."" As a class, we'll evaluate these conclusions by asking anew what is to be gained by writing about trauma. And what is to be gained by reading it? What access do we have to it if we read about it as literature, instead of through the lens of some other discipline? This course aims to explore literature about trauma in order to understand both trauma and the potentials and purposes of answering questions that we'll devise as a class throughout the term. We'll look at world wars and what comes afterwards, epidemics and personal traumas. We'll study literature written by victims, by proxy-witnesses, by fiction writers, poets, documentarians, and feature-filmmakers, as well as texts written by psychiatrists, philosophers, and literary critics. Students will reflect often on the readings and films, will write and peer-review several analytical essays and will revise one of their papers as they gain familiarity with our subjects and arrive at a more sophisticated understanding of them. Grants: Honors NCAA;   Terms: T1;   Forms: V",T1,V,,
English,EN554,Chaucer: Text and Context,"Courses 501 and 502 introduce new Fifth Form students to writing about personal experience and literature. In the fall, students will write weekly personal essays, creative pieces, and some literary analyses; however, in the winter term, primary emphasis will be given to the development of the critical writing skills needed for college-level literature courses. Students who have demonstrated a clear proficiency in expository and critical writing in the fall may be permitted to enroll in other English electives in winter. Grants: Honors NCAA;   Terms: T1;   Forms: V",T1,V,,
English,EN555,Boarding School Literature,"Boarding schools and their surrounding settings and situations have become a familiar literary genre from Salinger's classic Catcher in the Rye to Sittenfeld's more recently published Prep. This course would survey various types of boarding school literature"" with the goal of examining the culture of boarding schools, the ways in which the culture is portrayed or distorted in various works, and the particular conventions of this genre of literature. Readings may include Tobias Wolff's Old School, John Knowles' A Separate Peace, Prep, Canin's The Palace Thief, and All Loves Excelling, a novel written by former Lawrenceville headmaster Josiah Bunting. Writing assignments will include reader responses, personal narratives, and literary analysis. Grants: Honors NCAA;   Terms: T3;   Forms: V",T3,V,,
English,EN556,Modern English Plays,"It has been said that the world has never seen a greater period of change than the 20th century, and the modern stage has artfully reflected the confusion and excitement of that time. In the first half of the century, England was involved in two World Wars, the sobering effects of which can be clearly seen on the British stage. The snobbery and waste of the upper classes that was once a great source for comedy was now a more appropriate theme for tragedy, and humor found itself rooted in the existentialist idea of absurdity itself. This elective will look closely at this change in the theater through three playwrights: one from the late 1800s, and two from the middle and late 20th century. We will read six plays over the term and write an essay on each of the three authors. The class itself will be text and discussion based, but it will also include films and our own oral interpretations of the plays around the Harkness table. Texts may include: Wilde's The Importance of Being Ernest and An Ideal Husband, J.B. Priestly's An Inspector Calls and Time and the Conways, and Tom Stoppard's Rosencrantz and Guildenstern are Dead and The Real Inspector Hound. Grants: Honors NCAA;   Terms: T3;   Forms: V",T3,V,,
English,EN557,Multicultural American Fiction,"This course will explore works of literature written by African-American, Arab-American, Asian-American, and Latina/o authors.  We will begin by asking whether the writings of such authors are distinguished by particular thematic, formal, and stylistic features.  In what ways has the field of American literature been shaped by ""culturally specific"" heritages and perspectives?  We will then track the shift from ""roots"" to ""routes"" that has been diagnosed in recent immigrant and transnational writing.  How are today’s increasingly mobile writers transforming the settings, characters, and plots of the novel?  How do they construe the impact of the global on the local?  And what might their writings forecast about the future of American fiction?  Over the course of the term, we will read and discuss novels and short stories written by the following authors: Lan Cao, Sandra Cisneros, Edwidge Danticat, Junot Díaz, Yussef El Guindi, Gish Jen, Jhumpa Lahiri, Mohja Kahf, Toni Morrison, Luis J. Rodriguez, Helena María Viramontes, John Edgar Wideman, and Karen Tei Yamashita. Grants: Honors;   Terms: T1;   Forms: V",T1,V,,
